Code,Description,LAT,LON
10283,"Arba Minch, Ethiopia: Arba Minch Airport",6.0406782,37.59041748839611
10284,"Mataram, Indonesia: Selaparang",-8.5618359,116.1022297399215
10285,"Durango, CO: Animas Air Park",37.20305820000001,-107.8697883
10286,"Puerto Armuelles, Panama: Puerto Armuelles Airport",8.268813,-82.86377270000001
10287,"Amman, Jordan: Queen Alia International",31.724115500000003,35.99539238443881
10288,"Alma, MI: Gratiot Community",43.323543799999996,-84.68824670000001
10289,"Mao, Chad: Mao Airport",22.4162482,99.78579847751776
10290,"Ampanihy, Madagascar: Ampanihy Airport",-24.699699399999997,44.7341995
10291,"Ambon, Indonesia: Pattimura",-3.71165975,128.08746815018998
10292,"Amsterdam, Netherlands: Schiphol",52.309523,4.762181299999999
10294,"Ames, IA: Ames Municipal",41.9904864,-93.62208419812212
10295,"Ammaroo, Australia: Ammaroo Station",-21.7383003,135.2420044
10296,"Ambatomainty, Madagascar: Ambatomainty Airport",-17.65480905,48.21048885955896
10297,"Anaheim, CA: Anaheim-Disneyland HP",,
10298,"Anniston, AL: Anniston Regional",33.5881641,-85.8581158
10299,"Anchorage, AK: Ted Stevens Anchorage International",61.18103525,-149.9978918973043
10300,"Anderson, SC: Anderson Regional",34.4948,-82.7095
10301,"Angers, France: Angers Marce",47.56003395000001,-0.3137872270429031
10302,"Antofagasta, Chile: Andres Sabella International",,
10303,"Angouleme, France: Angouleme Brie Champniers",45.72918935,0.2202640817733036
10304,"Aniak, AK: Aniak Airport",61.58138889999999,-159.5427778
10305,"Ankara, Turkey: Etimesgut",,
10306,"Antalaha, Madagascar: Antsirabato",-14.9990678,50.3182525
10307,"Annette, AK: Annette Island",55.0425,-131.5722
10308,"Angoche, Mozambique: Angoche Airport",-16.183674449999998,39.944411285056574
10309,"Annapolis, MD: Lee",38.942207200000006,-76.56704055866717
10310,"Antwerp, Belgium: Deurne",51.18815085,4.46347143533884
10311,"Andahuaylas, Peru: Andahuaylas Airport",-13.7052035,-73.34911322210644
10312,"St. Johns, Antigua and Barbuda: V C Bird International",17.13578595,-61.793819284082616
10313,"Anvik, AK: Anvik Airport",62.64510920000001,-160.1932999
10314,"Andeness, Norway: Andoya",69.29132535,16.13968094661204
10317,"Lima, OH: Lima Allen County",40.711531799999996,-84.027545405464
10318,"Ancona, Italy: Ancona Falconara",43.61716225,13.364858030368092
10319,"Aomori, Japan: Aomori Airport",40.734052500000004,140.68968600000002
10320,"Karpathos, Greece: Karpathos Airport",35.42112245,27.150800632217933
10321,"Paso de Los Libres, Argentina: Paso de Los Libres Airport",-29.68872275,-57.15124909072491
10322,"Altoona, PA: Altoona-Blair County",40.29686675,-78.32117438468744
10323,"Alor Setar, Malaysia: Sultan Abdul Halim",6.1919315,100.4017638
10324,"Amook Bay, AK: Amook Bay Airport",57.47051329999999,-153.8166725
10325,"Denver, CO: Centennial",39.5706549,-104.843755105935
10326,"Apolo, Bolivia: Apolo Airport",-14.73974635,-68.41034544515793
10327,"Napa, CA: Napa County",38.216488,-122.27657132954651
10328,"San Juan Aposento, Peru: San Juan Aposento Airport",-15.350244,-75.1377522
10329,"Naples, FL: Naples Municipal",26.1523225,-81.77394138048855
10330,"Aberdeen, MD: Phillips AAF",,
10331,"Apataki, French Polynesia: Apataki Airport",-15.57573855,-146.41268848774382
10332,"Nampula, Mozambique: Nampula Airport",-15.10352855,39.28914845424214
10333,"Alpena, MI: Alpena County Regional",45.07879025,-83.5599967583827
10334,"Apartado, Colombia: Apartado Airport",7.971667,-76.629722
10335,"April River, Papua New Guinea: April River Airport",-4.67634175,142.53988020933366
10336,"Jasper, TN: Marion County Brown Field",,
10337,"Apple Valley, CA: Apple Valley Airport",34.5792083,-117.1855014109333
10338,"Apia, Samoa: Faleolo International",-13.83077365,-172.00829609835515
10339,"Qaisumah, Saudi Arabia: Hafr Al Batin",27.901428999999997,45.52834420000001
10340,"Aqaba, Jordan: King Hussein International",29.610122999999998,35.01902439412157
10342,"Arequipa, Peru: Rodriguez Ballon International",-16.3421554,-71.56922319729264
10343,"Saqani, Fiji: Saqani Airport",-16.8034908,179.3406826620913
10344,"Girdwood, AK: Girdwood Airport",60.9659745,-149.1234394
10345,"Russellville, AR: Russellville Regional",35.259774799999995,-93.09637059999999
10346,"Conway, AR: Dennis F Cantrell Field",,
10347,"New Iberia, LA: Acadiana Regional",30.03301825,-91.88190742881201
10348,"Ann Arbor, MI: Ann Arbor Municipal",42.222288299999995,-83.7471663612859
10349,"Arctic Village, AK: Arctic Village Airport",68.1156573,-145.575639
10350,"Alor, Indonesia: Arcadia Municipal",27.19541055,-81.83756836565206
10351,"Arecibo, PR: Antonio/Nery/Juarbe Pol",18.4506187,-66.67429833319041
10352,"Walnut Ridge, AR: Walnut Ridge Regional",36.1253468,-90.92456390000001
10353,"Arkhangelsk, Russia: Talagi",64.599209,40.71860498748
10354,"Arica, Chile: Chacalluta",-18.3533319,-70.34144341305085
10355,"Arusha, Tanzania: Arusha Airport",-3.36846345,36.62279384411432
10356,"Armidale, Australia: Armidale Airport",-30.5286256,151.6156495208327
10357,"Stockholm, Sweden: Arlanda",59.6467921,17.937044334194475
10358,"Aragip, Papua New Guinea: Aragip Airport",,
10359,"Arauquita, Colombia: Arauquita Airport",7.0213795,-71.3888795
10360,"Aragarcas, Brazil: Aragarcas Airport",-15.90047295,-52.243756078475215
10361,"Watertown, NY: Watertown International",43.99350820000001,-76.02147409999999
10362,"Aracatuba, Brazil: Aracatuba Airport",-7.9941257,-50.6313076
10363,"Minocqua/Woodruff, WI: Lakeland/Noble F. Lee Memorial Field",45.93029615,-89.73396030868379
10364,"Arad, Romania: Arad International",26.27017855,50.63034273819671
10365,"Asbury Park, NJ: Asbury Park/Monmouth County",,
10366,"Ararat, Australia: Ararat Airport",-37.31213875,142.9942951850989
10367,"N'zeto, Angola: N'zeto Airport",-7.2588391,12.862686832003613
10368,"Assab, Eritrea: Assab International",13.07593025,42.641858783111616
10369,"Ashgabat, Turkmenistan: Ashgabat Airport",37.98235920000001,58.359444442126076
10370,"Ascension, Bolivia: Ascension Airport",-7.9696002,-14.393699599999998
10371,"Andros Town, The Bahamas: Fresh Creek",24.6983803,-77.79253386765234
10372,"Aspen, CO: Aspen Pitkin County Sardy Field",,
10373,"Ashburton, New Zealand: Ashburton Airport",-29.6921328,30.456255699999996
10374,"Nashua, NH: Boire Field",42.78259315,-71.51763052967607
10375,"Ascension Island, Saint Helena, Ascension, and Tristan da Cunha: Ascension Aux Af",,
10376,"Amami O Shima, Japan: Amami",28.431206,129.71225049999998
10377,"Yamoussoukro, Cote d'Ivoire: Yamoussoukro Airport",6.902501400000001,-5.366785389766218
10378,"Marshall, TX: Harrison County",40.23844535,-81.01338765670734
10379,"Asmara, Eritrea: Asmara International",15.293263199999998,38.91614005270738
10380,"Talladega, AL: Talladega Municipal",33.5694027,-86.05353620000001
10381,"Asosa, Ethiopia: Asosa Hidase",,
10382,"Alice Springs, Australia: Alice Springs Airport",-23.8062855,133.89773500499115
10383,"Austin, NV: Austin Airport",39.4664739,-117.19708239162144
10384,"Kayseri, Turkey: Kayseri Airport",52.308850299999996,4.7616136
10385,"Astoria/Seaside, OR: Astoria Regional",46.15635245,-123.88297555618023
10386,"Asuncion, Paraguay: Silvio Pettirossi International",,
10387,"Aswan, Egypt: Aswan International",23.9652001,32.8210999
10388,"Ashland, WI: John F Kennedy Memorial",46.5479467,-90.91700089554308
10389,"Ashley, ND: Ashley Municipal",46.02186620000001,-99.35171259027456
10390,"Anta, Peru: Anta Huaraz",,
10391,"Atbara, Sudan: Atbara Airport",17.706878699999997,34.05635032638109
10392,"Arthur's Town, The Bahamas: Arthur's Town Airport",24.6302173,-75.67591799805398
10393,"Antlers, OK: Antlers Municipal",34.1926808,-95.6502382
10394,"Athens, Greece: Eleftherios Venizelos International",,
10395,"Artigas, Uruguay: Artigas International",-30.399179600000004,-56.5109279
10396,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial",70.46902209999999,-157.4325285
10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International",33.63779875,-84.42927118585675
