COUNT,DATE
3032,2015-06-02
2504,2015-06-03
2171,2015-06-04
1748,2015-06-05
1320,2015-06-06
1040,2015-06-07
1903,2015-06-08
6001,2015-06-09
1312,2015-06-10
1182,2015-06-11
2265,2015-06-12
1474,2015-06-13
1779,2015-06-14
2175,2015-06-15
3354,2015-06-16
2473,2015-06-17
1960,2015-06-18
1804,2015-06-19
1501,2015-06-20
1686,2015-06-21
1768,2015-06-22
1447,2015-06-23
1448,2015-06-24
1924,2015-06-25
1466,2015-06-26
1095,2015-06-27
1188,2015-06-28
1389,2015-06-29
1837,2015-06-30
2021,2015-07-01
1468,2015-07-02
1814,2015-07-03
797,2015-07-04
928,2015-07-05
1191,2015-07-06
2475,2015-07-07
17012,2015-07-08
3577,2015-07-09
1688,2015-07-10
977,2015-07-11
981,2015-07-12
1539,2015-07-13
1151,2015-07-14
1439,2015-07-15
1707,2015-07-16
1684,2015-07-17
1304,2015-07-18
1443,2015-07-19
1198,2015-07-20
969,2015-07-21
2091,2015-07-22
1322,2015-07-23
1054,2015-07-24
929,2015-07-25
851,2015-07-26
1026,2015-07-27
831,2015-07-28
1263,2015-07-29
6208,2015-07-30
4018,2015-07-31
1868,2015-08-01
1492,2015-08-02
2694,2015-08-03
2491,2015-08-04
1809,2015-08-05
1394,2015-08-06
1469,2015-08-07
1042,2015-08-08
7538,2015-08-09
936,2015-08-10
1296,2015-08-11
1132,2015-08-12
1026,2015-08-13
982,2015-08-14
923,2015-08-15
1607,2015-08-16
1667,2015-08-17
1225,2015-08-18
1212,2015-08-19
1759,2015-08-20
1999,2015-08-21
1366,2015-08-22
1049,2015-08-23
1043,2015-08-24
1057,2015-08-25
823,2015-08-26
749,2015-08-27
1245,2015-08-28
643,2015-08-29
688,2015-08-30
1012,2015-08-31
821,2015-09-01
885,2015-09-02
980,2015-09-03
1228,2015-09-04
864,2015-09-05
504,2015-09-06
898,2015-09-07
2410,2015-09-08
1876,2015-09-09
1376,2015-09-10
1807,2015-09-11
868,2015-09-12
670,2015-09-13
985,2015-09-14
994,2015-09-15
986,2015-09-16
901,2015-09-17
1110,2015-09-18
974,2015-09-19
652,2015-09-20
835,2015-09-21
824,2015-09-22
1040,2015-09-23
1038,2015-09-24
1339,2015-09-25
1125,2015-09-26
1098,2015-09-27
1308,2015-09-28
896,2015-09-29
821,2015-09-30
1591,2015-10-01
1374,2015-10-02
967,2015-10-03
1005,2015-10-04
1240,2015-10-05
1023,2015-10-06
1196,2015-10-07
1340,2015-10-08
1126,2015-10-09
1246,2015-10-10
946,2015-10-11
777,2015-10-12
849,2015-10-13
773,2015-10-14
1123,2015-10-15
