,status,start_date,start_station,end_date,end_station,bike_nr,subsc_type,zip_code,birth_date,gender,id,start_hour,end_hour,start_weekday,end_weekday,trip_duration,age,start_coordinates,end_coordinates,start_municipal,end_municipal,start_latitude,start_longitude,end_latitude,end_longitude,stations_exist
7938,Closed,2011-08-06 00:49:00,36.0,2011-08-06 02:32:00,49.0,B00126,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDk6MDA6OC82LzIwMTEgMDI6MzI6MDA6MzYuMDo0OS4wOkIwMDEyNg==,0,2,5,5,6180,2019.0,"42.3493269,-71.0786551908223","42.3003827,-71.0624746",Boston,Boston,42.3493269,-71.0786551908223,42.3003827,-71.0624746,True
7939,Closed,2011-08-06 00:49:00,27.0,2011-08-06 18:42:00,27.0,B00279,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDk6MDA6OC82LzIwMTEgMTg6NDI6MDA6MjcuMDoyNy4wOkIwMDI3OQ==,0,18,5,5,64380,2019.0,"47.89376835,3.10927507493543","47.89376835,3.10927507493543",Boston,Boston,47.89376835,3.10927507493543,47.89376835,3.10927507493543,True
7940,Closed,2011-08-06 00:50:00,50.0,2011-08-06 00:54:00,49.0,B00165,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NTA6MDA6OC82LzIwMTEgMDA6NTQ6MDA6NTAuMDo0OS4wOkIwMDE2NQ==,0,0,5,5,240,2019.0,"42.3500548,-71.0774775","42.3003827,-71.0624746",Boston,Boston,42.3500548,-71.0774775,42.3003827,-71.0624746,True
7941,Closed,2011-08-06 00:49:00,36.0,2011-08-06 01:09:00,44.0,B00178,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NDk6MDA6OC82LzIwMTEgMDE6MDk6MDA6MzYuMDo0NC4wOkIwMDE3OA==,0,1,5,5,1200,2019.0,"42.3493269,-71.0786551908223","42.3600335,-71.05623415",Boston,Boston,42.3493269,-71.0786551908223,42.3600335,-71.05623415,True
7942,Closed,2011-08-06 00:50:00,49.0,2011-08-06 01:19:00,20.0,B00551,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NTA6MDA6OC82LzIwMTEgMDE6MTk6MDA6NDkuMDoyMC4wOkIwMDU1MQ==,0,1,5,5,1740,2019.0,"42.3003827,-71.0624746","47.89376835,3.10927507493543",Boston,Boston,42.3003827,-71.0624746,47.89376835,3.10927507493543,True
7943,Closed,2011-08-06 00:51:00,49.0,2011-08-06 01:19:00,20.0,B00125,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NTE6MDA6OC82LzIwMTEgMDE6MTk6MDA6NDkuMDoyMC4wOkIwMDEyNQ==,0,1,5,5,1680,2019.0,"42.3003827,-71.0624746","47.89376835,3.10927507493543",Boston,Boston,42.3003827,-71.0624746,47.89376835,3.10927507493543,True
7944,Closed,2011-08-06 00:50:00,36.0,2011-08-06 01:11:00,44.0,B00176,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NTA6MDA6OC82LzIwMTEgMDE6MTE6MDA6MzYuMDo0NC4wOkIwMDE3Ng==,0,1,5,5,1260,2019.0,"42.3493269,-71.0786551908223","42.3600335,-71.05623415",Boston,Boston,42.3493269,-71.0786551908223,42.3600335,-71.05623415,True
7945,Closed,2011-08-06 00:52:00,20.0,2011-08-06 01:11:00,24.0,B00552,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NTI6MDA6OC82LzIwMTEgMDE6MTE6MDA6MjAuMDoyNC4wOkIwMDU1Mg==,0,1,5,5,1140,2019.0,"47.89376835,3.10927507493543","42.3502036,-71.0427412",Boston,Boston,47.89376835,3.10927507493543,42.3502036,-71.0427412,True
7946,Closed,2011-08-06 00:55:00,33.0,2011-08-06 01:12:00,8.0,B00361,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NTU6MDA6OC82LzIwMTEgMDE6MTI6MDA6MzMuMDo4LjA6QjAwMzYx,0,1,5,5,1020,2019.0,"42.3489544,-71.0956327","42.3537768,-71.1366199647727",Boston,Boston,42.3489544,-71.0956327,42.3537768,-71.1366199647727,True
7947,Closed,2011-08-06 00:52:00,20.0,2011-08-06 01:10:00,24.0,B00004,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NTI6MDA6OC82LzIwMTEgMDE6MTA6MDA6MjAuMDoyNC4wOkIwMDAwNA==,0,1,5,5,1080,2019.0,"47.89376835,3.10927507493543","42.3502036,-71.0427412",Boston,Boston,47.89376835,3.10927507493543,42.3502036,-71.0427412,True
7948,Closed,2011-08-06 00:54:00,20.0,2011-08-06 01:11:00,24.0,B00567,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NTQ6MDA6OC82LzIwMTEgMDE6MTE6MDA6MjAuMDoyNC4wOkIwMDU2Nw==,0,1,5,5,1020,2019.0,"47.89376835,3.10927507493543","42.3502036,-71.0427412",Boston,Boston,47.89376835,3.10927507493543,42.3502036,-71.0427412,True
7949,Closed,2011-08-06 00:53:00,39.0,2011-08-06 01:04:00,39.0,B00234,REGISTERED,'02118,1976.0,Male,OC82LzIwMTEgMDA6NTM6MDA6OC82LzIwMTEgMDE6MDQ6MDA6MzkuMDozOS4wOkIwMDIzNA==,0,1,5,5,660,43.0,"42.3387682,-71.0747191","42.3387682,-71.0747191",Boston,Boston,42.3387682,-71.0747191,42.3387682,-71.0747191,True
7950,Closed,2011-08-06 00:54:00,8.0,2011-08-06 01:16:00,45.0,B00293,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NTQ6MDA6OC82LzIwMTEgMDE6MTY6MDA6OC4wOjQ1LjA6QjAwMjkz,0,1,5,5,1320,2019.0,"42.3537768,-71.1366199647727","42.3500548,-71.0774775",Boston,Boston,42.3537768,-71.1366199647727,42.3500548,-71.0774775,True
7951,Closed,2011-08-06 00:55:00,17.0,2011-08-06 01:44:00,44.0,B00557,CASUAL,,0.0,No Gender,OC82LzIwMTEgMDA6NTU6MDA6OC82LzIwMTEgMDE6NDQ6MDA6MTcuMDo0NC4wOkIwMDU1Nw==,0,1,5,5,2940,2019.0,"42.3644647,-71.1184111","42.3600335,-71.05623415",Boston,Boston,42.3644647,-71.1184111,42.3600335,-71.05623415,True
